Cobra Integrated Systems Ltd	(604) 664-7671 ext ____	\N	4427 Dawson Street 	Burnaby	BC	Canada	V5C 4B8	CIS	6159	2017-05-09 12:01:15-07	2017-05-09 12:01:15-07	\N	f
Butler Sundvick & Associates	6045139611	6045132202	4 - 19089 94 Avenue	Surrey	BC	Canada	V4N 3S4	BS&A	1707	2002-02-22 07:00:00-08	2017-04-05 08:45:43-07	\N	f
McCue Engineering Contractors	(604) 940-2828 ext ____	\N	Unit 203-8291 92nd Street	Delta	BC	Canada	V4G 0A4	MCC	6141	2017-04-06 09:07:31-07	2017-04-06 09:08:57-07	\N	f
Silverback Treeworks Ltd.	(607) 312-7399 ext ____	\N	PO Box 3028	Garibaldi Highlands	BC	Canada	V0N 1T0	STL	6121	2017-02-20 09:01:31-08	2017-03-03 11:00:59-08	\N	f
Coquitlam Concrete Products Ltd.	6049449422	6049448494	1530 Pipeline Road	Coquitlam	BC	Canada	V3E 2X1	CCP	463	2001-07-24 08:00:00-07	2017-05-01 13:45:13-07	\N	f
Comstock Canada Ltd.	6045408620	6045408624	#8 - 1585 Cliveden Avenue West	Delta	BC	Canada	V3M 6M1	CCL	441	2001-07-25 08:00:00-07	2016-05-06 06:31:21-07	\N	f
596526 B.C. Ltd. D.B.A. Superior Door Services	(604) 852-5925 ext ____	(604) 852-3667 ext ____	45823 Railway Avenue	Chilliwack, 	BC	Canada	V2P 1 L4	SDS	6154	2017-05-01 15:22:59-07	2017-05-11 14:32:55-07	\N	f
Franz Enviornmental Inc. (Arcadis)	(604) 632-9941 ext ____	\N	1080 Mainland Street	Vancouver	BC	Canada	V6B 2T4	FEA	6149	2017-04-24 13:28:36-07	2017-04-24 13:29:48-07	\N	f
Enns Gauthier Landscape	(778) 379-3173 ext ____	\N	202-175 East Broadway	Vancouver	BC	Canada	V5T 1W2	EGL	6155	2017-05-02 16:31:33-07	2017-05-02 16:31:33-07	\N	f
Bel Par Industries Ltd.	6045815291	6045813112	12160 - 103A Avenue	Surrey	BC	Canada	V3V 3G8	BPIL	274	2001-07-25 08:00:00-07	2016-05-06 06:31:16-07	\N	f
GWL Realty Advisors Inc	6047136450	6046833264	1600 - 650 West Georgia Street P.O. Box 11505	Vancouver	BC	Canada	V6B 4N7	GWL	2326	2003-02-18 07:00:00-08	2017-05-10 11:30:14-07	\N	f
Elite Fire Protection Ltd	(877) 850-0014 ext ____		33605 Maclure Rd #1	Abbotsford 	BC	Canada	V2S 7W2	EFPL	6138	2017-03-23 08:55:38-07	2017-04-26 15:49:33-07	\N	f
Trimac Welding & Fabricating	(604) 855-4538 ext ____	(604) 852-4557 ext ____	1789 Foy Street	Abbotsford	BC	Canada	V2T 6B1	TWF	6133	2017-03-16 13:26:40-07	2017-03-16 13:27:27-07	\N	f
STS Security Inc. 	(778) 552-4749 ext ____	\N	34635 Kent Avenue	Abbotsford	BC	Canada	V2S 6M2	STS	6142	2017-04-07 14:29:45-07	2017-05-25 11:12:06-07	\N	f
Jensen Hughes Consulting Canada Ltd. 	(604) 732-3751 ext ____	\N	#228-1195 West Broadway	Vancouver	BC	Canada	V6H 3X5	JHCC	6024	2016-08-18 11:31:38-07	2017-06-02 09:15:38-07	0	f
